step:3732/4768 | loss 0.115313 | train_time:16033.87s | step_avg:4295.17ms
step:3733/4768 | loss 0.111469 | train_time:16038.15s | step_avg:4295.16ms
step:3734/4768 | loss 0.110662 | train_time:16042.42s | step_avg:4295.16ms
step:3735/4768 | loss 0.111359 | train_time:16046.69s | step_avg:4295.15ms
step:3736/4768 | loss 0.110573 | train_time:16050.96s | step_avg:4295.15ms
step:3737/4768 | loss 0.111620 | train_time:16055.23s | step_avg:4295.14ms
step:3738/4768 | loss 0.115037 | train_time:16059.51s | step_avg:4295.13ms
step:3739/4768 | loss 0.111053 | train_time:16063.78s | step_avg:4295.13ms
step:3740/4768 | loss 0.110257 | train_time:16068.05s | step_avg:4295.12ms
step:3741/4768 | loss 0.111960 | train_time:16072.37s | step_avg:4295.13ms
step:3742/4768 | loss 0.112834 | train_time:16076.64s | step_avg:4295.12ms
step:3743/4768 | loss 0.110645 | train_time:16080.92s | step_avg:4295.12ms
step:3744/4768 | loss 0.111526 | train_time:16085.19s | step_avg:4295.11ms
step:3745/4768 | loss 0.111735 | train_time:16089.46s | step_avg:4295.10ms
step:3746/4768 | loss 0.110756 | train_time:16093.73s | step_avg:4295.10ms
step:3747/4768 | loss 0.111063 | train_time:16098.01s | step_avg:4295.09ms
step:3748/4768 | loss 0.111595 | train_time:16102.28s | step_avg:4295.09ms
step:3749/4768 | loss 0.111942 | train_time:16106.55s | step_avg:4295.08ms
step:3750/4768 | loss 0.112926 | train_time:16110.82s | step_avg:4295.07ms
step:3751/4768 | loss 0.115536 | train_time:16115.10s | step_avg:4295.07ms
step:3752/4768 | loss 0.112603 | train_time:16119.37s | step_avg:4295.06ms
step:3753/4768 | loss 0.111257 | train_time:16123.65s | step_avg:4295.06ms
step:3754/4768 | loss 0.109841 | train_time:16127.92s | step_avg:4295.05ms
step:3755/4768 | loss 0.112783 | train_time:16132.20s | step_avg:4295.05ms
step:3756/4768 | loss 0.116475 | train_time:16136.47s | step_avg:4295.04ms
step:3757/4768 | loss 0.110656 | train_time:16140.75s | step_avg:4295.04ms
step:3758/4768 | loss 0.111296 | train_time:16145.03s | step_avg:4295.03ms
step:3759/4768 | loss 0.109934 | train_time:16149.31s | step_avg:4295.03ms
